Date Open High Low Close AdjClose Volume
2009-09-11 27,070000 27,070000 25,799999 26,299999 11,491830 73700
2009-09-14 26,000000 26,490000 26,000000 26,400000 11,535525 33000
2009-09-15 26,570000 27,160000 26,420000 27,150000 11,863237 122300
2009-09-16 27,320000 27,879999 27,110001 27,500000 12,016171 52200
2009-09-17 27,559999 27,799999 26,629999 27,040001 11,815177 48000
2009-09-18 27,559999 28,250000 27,100000 27,920000 12,199689 79000
2009-09-21 27,270000 27,930000 27,070000 27,930000 12,204062 36100
2009-09-22 28,100000 28,459999 27,840000 28,330000 12,378844 52000
2009-09-23 28,530001 28,559999 27,820000 28,209999 12,326409 29500
2009-09-24 28,000000 28,000000 27,440001 27,600000 12,059866 15000
2009-09-25 27,709999 28,000000 27,260000 27,990000 12,230277 32400
2009-09-28 27,990000 28,500000 27,600000 28,000000 12,234648 53300
2009-09-29 28,010000 28,490000 27,650000 28,040001 12,252126 22500
2009-09-30 28,000000 28,620001 27,500000 28,590000 12,492449 42000
2009-10-01 28,490000 28,490000 27,299999 27,520000 12,024911 86600
2009-10-02 27,219999 28,500000 27,219999 27,940001 12,208431 59400
2009-10-05 28,030001 28,400000 28,030001 28,400000 12,409429 62300
2009-10-06 28,500000 28,670000 28,160000 28,670000 12,527404 44700
2009-10-07 28,670000 28,850000 28,299999 28,850000 12,606059 16400
2009-10-08 28,820000 29,450001 28,820000 29,219999 12,767730 55300
2009-10-09 29,270000 29,500000 28,870001 29,500000 12,890075 25000
2009-10-12 29,790001 30,000000 29,540001 30,000000 13,108551 20200
2009-10-13 29,860001 29,860001 29,129999 29,740000 12,994943 47900
2009-10-14 29,700001 30,000000 29,230000 29,990000 13,104181 85700
2009-10-15 29,969999 29,969999 28,820000 29,389999 12,842010 70100
2009-10-16 29,209999 29,670000 28,700001 29,459999 12,872599 50800
2009-10-19 29,450001 29,480000 28,940001 29,320000 12,811425 62300
2009-10-20 29,379999 29,379999 27,780001 28,280001 12,356997 68800
2009-10-21 28,030001 28,450001 27,520000 28,379999 12,400692 20300
2009-10-22 28,290001 28,290001 27,570000 27,840000 12,164735 52400
2009-10-23 27,590000 27,840000 27,100000 27,549999 12,038018 43900
2009-10-26 27,690001 27,690001 26,510000 26,840000 11,727786 50500
2009-10-27 26,500000 26,629999 26,049999 26,240000 11,465611 58300
2009-10-28 26,000000 26,000000 24,820000 24,870001 10,866988 137900
2009-10-29 25,010000 26,549999 25,010000 26,200001 11,448137 108700
2009-10-30 26,139999 26,490000 25,559999 25,790001 11,268984 55900
2009-11-02 25,969999 26,250000 25,590000 25,799999 11,273355 33200
2009-11-03 25,799999 25,799999 24,830000 25,320000 11,063617 72700
2009-11-04 25,799999 26,370001 25,520000 26,280001 11,483091 91100
2009-11-05 26,190001 26,879999 26,190001 26,870001 11,740893 25300
2009-11-06 26,520000 26,850000 25,740000 26,590000 11,618545 14500
2009-11-09 26,690001 27,200001 26,690001 27,200001 11,885085 13500
2009-11-10 27,020000 27,750000 26,950001 27,270000 11,915673 34900
2009-11-11 27,420000 27,900000 26,860001 27,120001 11,850132 327700
2009-11-12 27,020000 27,209999 26,770000 26,889999 11,749632 12200
2009-11-13 26,930000 27,150000 26,530001 26,530001 11,592330 37800
2009-11-16 26,940001 27,400000 26,850000 27,400000 11,972476 24900
2009-11-17 27,230000 27,230000 26,799999 27,139999 11,858869 40400
2009-11-18 27,200001 27,200001 26,750000 27,070000 11,828282 33200
2009-11-19 26,670000 27,000000 26,250000 26,760000 11,692827 73500
2009-11-20 26,049999 26,299999 25,760000 25,850000 11,295201 87000
2009-11-23 26,620001 26,850000 26,330000 26,520000 11,587959 62500
2009-11-24 26,350000 26,500000 26,120001 26,469999 11,566113 24300
2009-11-25 26,320000 26,910000 26,219999 26,879999 11,745263 29700
2009-11-27 25,910000 26,379999 25,809999 26,040001 11,378224 29000
2009-11-30 25,500000 25,500000 24,809999 24,809999 11,142000 72400
